Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
25	Phonebot	33227	219	0	219.00	$D2025-10-01T10:14:05.777Z	new	False	True	www.phonebot.com.au	https://www.phonebot.com.au/motorola-refurbished/motorola-moto-g85-5g-128gb-like-new	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1005284	Phonebot	1.8% cashback	1.8	phonebot	//cdn.cashrewards.com/phonebot.jpg?t=637835202711418728	True	False	phonebot.com.au	$D2023-07-30T11:50:50.100Z	$D2024-09-18T10:29:30.752Z
26	Tech Tack	13313	239	0	239.00	$D2025-10-01T10:14:05.777Z	new	False	False	techtack.com.au	https://techtack.com.au/products/moto-g55-5g-128gb-twilight-purple-pristine-refurbished-1?variant=51169257095399	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
27	Tristar Online	13311	239	0	239.00	$D2025-10-01T10:14:05.777Z	new	False	False	tristaronline.com.au	https://tristaronline.com.au/products/moto-g55-5g-128gb-twilight-purple-pristine-refurbished-1?variant=46824761196771	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
28	eBay - auschoicestore	227783334	372.99	0	372.99	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/388923944002	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
29	eBay - totally_tech	56765922	334.88	0	334.88	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/256970566101	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
30	Amazon	205066468	945	0	945.00	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.amazon.com.au/dp/B09777J8L3	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
31	screwlooseit.com.au	1836231397	360.53	0	360.53	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://shop.screwlooseit.com.au/product/motorola-g85-5g-128gb-urban-greyau-stock6-7full-hd120hz8gb-128gb50mp-32mpdual-simwater-protection5000mah2-year-warranty/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
32	Personal Digital	14764	332.7	0	332.70	$D2025-10-01T10:14:05.777Z	new	False	False	www.personaldigital.com.au	https://www.personaldigital.com.au/products/motorola-g55-5g-dual-sim-4gb-128gb-forest-grey?variant=43382784622691	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
33	eBay - supersaverau	1497345437	354.36	0	354.36	$D2025-10-01T10:14:05.777Z	new	False	False	None	https://www.ebay.com.au/itm/387989004112	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
34	Skycomp Technology	612	322	0	322.00	$D2025-10-01T10:14:05.777Z	new	False	True	www.skycomp.com.au	https://www.skycomp.com.au/motorola-pb2a0021au-motorola-g85-5g-8-128gb-urban-grey-1049436.html	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1003078	SKYCOMP	0.6% cashback	0.6	skycomp	//cdn.cashrewards.com/skycomp.jpg	True	False	skycomp.com.au	$D2023-07-30T11:50:50.100Z	$D2024-09-18T10:29:30.752Z
35	Gimmie	158	271.82	0	271.82	$D2025-10-01T10:14:05.777Z	new	False	False	gimmie.com.au	https://gimmie.com.au/product/moto-g55-5g-128gb-smokey-green/	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
36	Goodmayes Online	1163250169	337	0	337.00	$D2025-10-01T10:14:05.777Z	new	False	False	goodmayesonline.com.au	https://goodmayesonline.com.au/products/motorola-g85-5g-128gb-urban-grey-au-stock-6-7-full-hd-120hz-8gb-128gb-50mp-32mp-dual-sim-water-protection-5000mah-2-year-warranty	None	66929271	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
