Index	Seller_Name	Seller_ID	Base_Price	Shipping	CALC_Total_Price	Created_At	Condition	CALC_Has_Shopback	CALC_Has_Cashrewards	Seller_URL	Product_URL	Offer_ID	PID	Country_Code	Shopback_ID	Shopback_Name	Shopback_URL	Shopback_Commission	Shopback_Created_At	Shopback_Updated_At	Shopback_Hostname	Cashrewards_ID	Cashrewards_Name	Cashrewards_Commission_String	Cashrewards_Commission	Cashrewards_Hyphenated_Name	Cashrewards_Logo	Cashrewards_Online	Cashrewards_Instore	Cashrewards_Hostname	Cashrewards_Created_At	Cashrewards_Updated_At
11	Adelaide Online Computers	197130729	407.2	0	407.20	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://adelaideonlinecomputers.com.au/product/motorola-g75-5g-256gb-with-moto-buds-succulent-greenau-stock6-8full-hd120hz8gb-256gb50mp-16mpsingle-esim5000mah2year-warran/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
12	Techciti	1400	438	0	438.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.techciti.com.au	https://www.techciti.com.au/motorola-moto-g75-5g-w-moto-buds-dual-sim-256gb-8gb-6-8-green	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
13	Domayne	1364130860	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.domayne.com.au	https://www.domayne.com.au/motorola-moto-g75-5g-256gb-charcoal-grey.html	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
14	Harvey Norman Australia	11	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.harveynorman.com.au	https://www.harveynorman.com.au/motorola-moto-g75-5g-256gb.html	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
15	Amazon	205066468	405.88	0	405.88	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.amazon.com.au/dp/B0DYWRWDQS	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
16	BIG W - BIG W MARKET	769007327	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.bigw.com.au	https://www.bigw.com.au/product/motorola-g75-5g-256gb-with-moto-buds-charcoal-grey-au-stock-6-8-full-hd-120hz-8gb-256gb-dual-sim-50mp-16mp-water-protection-5000mah-2year-warranty/p/9901487778	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17	kogan.com	1364136031	438	0	438.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.kogan.com	https://www.kogan.com/au/buy/skyphonez-motorola-moto-g75-8gb-256gb-aqua-blue-brand-new-mtg75blu8g256gbnew/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
18	Mwave Australia	278	481.95	0	481.95	$D2025-10-01T20:23:53.181Z	new	True	True	mwave.com.au	https://www.mwave.com.au/product/motorola-g75-5g-256gb-smartphone-with-buds-blue-ac82195	None	83429707	None	63702	Mwave	www.shopback.com.au/mwave	0.5% Cashback	$D2023-08-01T09:56:13.775Z	$D2023-11-25T10:32:54.782Z	mwave.com.au	1004885	Mwave	0.6% cashback	0.6	mwave	//cdn.cashrewards.com/mwave.png?t=637622737569102693	True	False	mwave.com.au	$D2023-07-30T11:50:50.100Z	$D2024-09-18T10:29:30.752Z
19	eBay	1042295139	319	0	319.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.ebay.com.au	https://www.ebay.com.au/itm/236177841343	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
20	JW Computers	138	509	0	509.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.jw.com.au	https://www.jw.com.au/product/motorola-moto-g75-5g-256gb-8gb-6-8-aqua-blue	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
21	Personal Digital	14764	499	0	499.00	$D2025-10-01T20:23:53.181Z	new	False	False	www.personaldigital.com.au	https://www.personaldigital.com.au/products/motorola-moto-g75-5g-dual-sim-256gb-8gb-6-8-charcoal-grey?variant=43108785651811	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
22	screwlooseit.com.au	1836231397	419.98	0	419.98	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://shop.screwlooseit.com.au/product/motorola-g75-5g-256gb-with-moto-buds-aqua-blueau-stock6-8full-hd120hz8gb-256gbdual-sim50mp-16mpwater-protection5000mah2year-warranty/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23	Dick Smith AU	156	438.99	0	438.99	$D2025-10-01T20:23:53.181Z	new	False	False	www.dicksmith.com.au	https://www.dicksmith.com.au/da/buy/mobile-world-motorola-moto-g75-5g-bonus-moto-buds-dual-sim-256gb8gb-68-mot-g75-cfg-mot207083/	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
24	Goodmayes Online	1163250169	397	0	397.00	$D2025-10-01T20:23:53.181Z	new	False	False	goodmayesonline.com.au	https://goodmayesonline.com.au/products/motorola-g75-5g-256gb-with-moto-buds-charcoal-grey-au-stock-6-8-full-hd-120hz-8gb-256gb-dual-sim-50mp-16mp-water-protection-5000mah-2year-warranty	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
25	eBay - depotfindsau	10588408	579.84	0	579.84	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/365871869689	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
26	eBay - jw_computers	866234857	505	0	505.00	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/226682745361	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
27	eBay - kickmobiles-ltd	1918886407	834.9	0	834.90	$D2025-10-01T20:23:53.181Z	new	False	False	None	https://www.ebay.com.au/itm/296812442325	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
28	Flashtrend.com.au	99	479.77	0	479.77	$D2025-10-01T20:23:53.181Z	new	False	False	www.flashtrend.com.au	https://www.flashtrend.com.au/motorola-g75-5g-256gb-with-buds-succulent-green-6	None	83429707	None	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
